"","SchoolID","SchoolName"
"725",609976,"HAYT"
"726",609977,"WOODLAWN"
"727",609978,"SMITH"
"728",609979,"HEALY"
"729",609981,"HEARST"
"730",609983,"HEDGES"
"731",609985,"HEFFERAN"
"732",609986,"HENDERSON"
"733",609987,"HENDRICKS"
"734",609988,"HENRY"
"735",609990,"SOUTH LOOP"
"736",609991,"HERZL"
"737",609993,"LARA"
"738",609994,"HIBBARD"
"739",609995,"HITCH"
"740",609996,"HOLDEN"
"741",609997,"HOLMES"
"742",610000,"HOWE"
"743",610002,"HOYNE"
"744",610003,"CUFFE"
"745",610004,"CULLEN"
"746",610005,"HUGHES C"
"747",610006,"HURLEY"
"748",610009,"GALILEO"
"749",610010,"JAHN"
"750",610011,"JAMIESON"
"751",610012,"JENNER"
"752",610013,"PILSEN"
"753",610015,"JUNGMAN"
"754",610016,"KELLOGG"
"755",610017,"SAUCEDO"
"756",610019,"KERSHAW"
"757",610021,"CASALS"
"758",610022,"KILMER"
"759",610024,"CARDENAS"
"760",610026,"KINZIE"
"761",610027,"KIPLING"
"762",610029,"LOZANO"
"763",610030,"KOZMINSKI"
"764",610032,"GREEN"
"765",610033,"LASALLE"
"766",610034,"LAWNDALE"
"767",610036,"LEWIS"
"768",610037,"LIBBY"
"769",610038,"LINCOLN"
"770",610039,"VON LINNE"
"771",610040,"LLOYD"
"772",610041,"LOCKE J"
"773",610043,"LOVETT"
"774",610044,"LOWELL"
"775",610046,"LYON"
"776",610047,"MADISON"
"777",610048,"MANIERRE"
"778",610051,"NORTHWEST"
"779",610052,"MANN"
"780",610053,"MARQUETTE"
"781",610054,"MARSH"
"782",610055,"FARADAY"
"783",610056,"MASON"
"784",610057,"FAIRFIELD"
"785",610059,"MAYER"
"786",610060,"JACKSON A"
"787",610062,"MCCLELLAN"
"788",610063,"MCCORMICK"
"789",610065,"TILL"
"790",610066,"MCDADE"
"791",610067,"MCKAY"
"792",610068,"HANSON PARK"
"793",610070,"MCPHERSON"
"794",610073,"MITCHELL"
"795",610074,"MONROE"
"796",610076,"MOOS"
"797",610077,"MORRILL"
"798",610078,"INTER-AMERICAN"
"799",610081,"SHERIDAN"
"800",610082,"MOUNT GREENWOOD"
"801",610083,"BEARD"
"802",610084,"KELLER"
"803",610086,"MOUNT VERNON"
"804",610087,"BLAIR"
"805",610088,"MOZART"
"806",610089,"MURPHY"
"807",610090,"MURRAY"
"808",610091,"BROWN R"
"809",610092,"NASH"
"810",610093,"NEIL"
"811",610094,"NETTELHORST"
"812",610095,"NEWBERRY"
"813",610096,"NIGHTINGALE"
"814",610097,"NIXON"
"815",610098,"NOBEL"
"816",610099,"NORWOOD PARK"
"817",610100,"WEST PARK"
"818",610101,"OGDEN ES"
"819",610102,"OGLESBY"
"820",610103,"OKEEFFE"
"821",610104,"ONAHAN"
"822",610105,"ORIOLE PARK"
"823",610106,"PICCOLO"
"824",610107,"OTIS"
"825",610108,"OTOOLE"
"826",610109,"OWEN"
"827",610110,"WELLS ES"
"828",610111,"PALMER"
"829",610112,"PARKER"
"830",610115,"PARK MANOR"
"831",610116,"PARKSIDE"
"832",610117,"PASTEUR"
"833",610120,"PECK"
"834",610121,"IRVING"
"835",610122,"PEIRCE"
"836",610123,"PENN"
